gene_id	gene_name	chromosome	start	end	strand	type
ENSG00000187912.11	CLEC17A	chr19	14583084	14611157	+	protein_coding
ENSG00000243488.3	RN7SL337P	chr19	14584095	14584395	+	misc_RNA
ENSG00000243066.3	RN7SL842P	chr19	14588357	14588656	+	misc_RNA
ENSG00000131355.14	ADGRE3	chr19	14619117	14690027	-	protein_coding
ENSG00000269378.1	AC022149.1	chr19	14621634	14622242	-	processed_pseudogene
ENSG00000275432.1	AC022149.2	chr19	14628599	14628801	+	processed_pseudogene
ENSG00000160961.11	ZNF333	chr19	14689801	14733746	+	protein_coding
ENSG00000127507.17	ADGRE2	chr19	14732393	14778541	-	protein_coding
ENSG00000127530.3	OR7C1	chr19	14789260	14835376	-	protein_coding
ENSG00000256210.3	AC005255.1	chr19	14792318	14792533	+	processed_pseudogene
ENSG00000188269.9	OR7A5	chr19	14824251	14835285	-	protein_coding
ENSG00000127515.2	OR7A10	chr19	14840466	14848922	-	protein_coding
ENSG00000269552.1	OR7A8P	chr19	14852032	14852944	-	unprocessed_pseudogene
ENSG00000172148.3	OR7A2P	chr19	14863714	14867358	-	transcribed_unprocessed_pseudogene
ENSG00000185385.4	OR7A17	chr19	14878203	14886132	-	protein_coding
ENSG00000269678.1	OR7A18P	chr19	14886839	14887115	-	unprocessed_pseudogene
ENSG00000268834.2	OR7A1P	chr19	14891737	14897845	-	transcribed_unprocessed_pseudogene
ENSG00000269787.2	OR7A3P	chr19	14903232	14904138	-	unprocessed_pseudogene
ENSG00000198367.3	OR7A11P	chr19	14916428	14917380	+	unprocessed_pseudogene
ENSG00000176923.5	OR7A15P	chr19	14927052	14928060	+	unprocessed_pseudogene
ENSG00000127529.7	OR7C2	chr19	14941489	14942448	+	protein_coding
ENSG00000105143.12	SLC1A6	chr19	14950034	15022990	-	protein_coding
ENSG00000160994.3	CCDC105	chr19	15010744	15023269	+	protein_coding
ENSG00000105141.5	CASP14	chr19	15049384	15058293	+	protein_coding
ENSG00000094661.3	OR1I1	chr19	15082211	15092970	+	protein_coding
ENSG00000105137.12	SYDE1	chr19	15107403	15114988	+	protein_coding
ENSG00000105135.15	ILVBL	chr19	15114984	15125785	-	protein_coding
ENSG00000268564.1	AC003956.1	chr19	15124160	15126174	+	antisense
ENSG00000267961.2	OR10B1P	chr19	15141105	15142062	-	unprocessed_pseudogene
ENSG00000252661.1	RNU6-782P	chr19	15145215	15145318	+	snRNA
ENSG00000074181.8	NOTCH3	chr19	15159038	15200981	-	protein_coding
ENSG00000275711.1	MIR6795	chr19	15179283	15179350	-	miRNA
ENSG00000269635.1	AC004257.1	chr19	15221015	15222297	-	lincRNA
ENSG00000105131.7	EPHX3	chr19	15226919	15233435	-	protein_coding
ENSG00000141867.17	BRD4	chr19	15235519	15332545	-	protein_coding
ENSG00000270802.2	AC005776.1	chr19	15338948	15339237	+	processed_pseudogene
ENSG00000273218.1	AC005776.2	chr19	15346068	15348417	-	lincRNA
ENSG00000105127.8	AKAP8	chr19	15353385	15379798	-	protein_coding
ENSG00000268189.2	AC005785.1	chr19	15379076	15381194	+	processed_transcript
ENSG00000011243.17	AKAP8L	chr19	15380048	15419141	-	protein_coding
ENSG00000279203.1	AC005785.2	chr19	15383202	15383832	-	TEC
ENSG00000279716.1	AC006128.1	chr19	15398696	15400356	+	TEC
ENSG00000011451.19	WIZ	chr19	15419980	15449951	-	protein_coding
ENSG00000269782.1	MIR1470	chr19	15449548	15449608	+	miRNA
ENSG00000105122.12	RASAL3	chr19	15451624	15464571	-	protein_coding
ENSG00000161031.12	PGLYRP2	chr19	15468645	15498956	-	protein_coding
ENSG00000171954.12	CYP4F22	chr19	15508493	15552317	+	protein_coding
ENSG00000269765.2	AC011492.1	chr19	15515342	15516836	-	unprocessed_pseudogene
ENSG00000269516.6	CYP4F23P	chr19	15564074	15584709	+	transcribed_unprocessed_pseudogene
ENSG00000267135.2	AD000091.1	chr19	15611623	15611909	-	processed_pseudogene
ENSG00000225067.4	RPL23AP2	chr19	15611657	15612122	+	processed_pseudogene
ENSG00000266951.2	AC093072.1	chr19	15613247	15614553	-	lincRNA
ENSG00000186526.12	CYP4F8	chr19	15615218	15630638	+	protein_coding
ENSG00000186529.15	CYP4F3	chr19	15640897	15662825	+	protein_coding
ENSG00000267241.2	CYP4F10P	chr19	15664106	15669826	+	unprocessed_pseudogene
ENSG00000186204.14	CYP4F12	chr19	15672757	15697174	+	protein_coding
ENSG00000171942.4	OR10H2	chr19	15728020	15729060	+	protein_coding
ENSG00000171936.2	OR10H3	chr19	15737985	15742343	+	protein_coding
ENSG00000267594.5	CYP4F24P	chr19	15760241	15779909	-	unprocessed_pseudogene
ENSG00000268673.3	AC004597.1	chr19	15760375	15770828	+	lincRNA
ENSG00000172519.9	OR10H5	chr19	15787661	15801025	+	protein_coding
ENSG00000186723.4	OR10H1	chr19	15804549	15815664	-	protein_coding
ENSG00000267235.2	ZNF861P	chr19	15821796	15823797	-	unprocessed_pseudogene
ENSG00000267308.1	LINC01764	chr19	15827045	15835853	-	lincRNA
ENSG00000214049.7	UCA1	chr19	15828206	15836326	+	lincRNA
ENSG00000273782.1	RF02202	chr19	15834730	15834804	+	misc_RNA
ENSG00000267453.7	LINC01835	chr19	15851993	15864904	-	transcribed_unprocessed_pseudogene
ENSG00000273330.1	CYP4F36P	chr19	15871667	15871852	-	unprocessed_pseudogene
ENSG00000186115.12	CYP4F2	chr19	15878023	15898120	-	protein_coding
ENSG00000267218.2	AC005336.2	chr19	15902300	15903238	-	processed_pseudogene
ENSG00000279717.1	AC005336.3	chr19	15904556	15907234	+	TEC
ENSG00000267056.2	AC005336.1	chr19	15910582	15911824	-	processed_pseudogene
ENSG00000171903.16	CYP4F11	chr19	15912367	15934867	-	protein_coding
ENSG00000176231.2	OR10H4	chr19	15944299	15950350	+	protein_coding
ENSG00000267392.3	CYP4F9P	chr19	15979835	15999020	-	unprocessed_pseudogene
ENSG00000205396.11	LINC00661	chr19	16015287	16027462	+	processed_transcript
ENSG00000280412.1	AC004790.2	chr19	16019719	16020290	+	TEC
ENSG00000167459.16	LINC00905	chr19	16031307	16042116	+	processed_transcript
ENSG00000267609.2	SNX33P1	chr19	16034776	16036537	-	processed_pseudogene
ENSG00000277766.1	AC004790.1	chr19	16037009	16038455	-	unprocessed_pseudogene
ENSG00000267450.1	OR1AB1P	chr19	16051929	16052689	+	unprocessed_pseudogene
ENSG00000267517.1	LINC01855	chr19	16065737	16066312	+	lincRNA
ENSG00000167460.15	TPM4	chr19	16067021	16103005	+	protein_coding
ENSG00000279198.1	AC008894.3	chr19	16074293	16077395	-	TEC
ENSG00000267373.1	AC008894.1	chr19	16103761	16104254	-	lincRNA
ENSG00000167461.11	RAB8A	chr19	16111629	16134234	+	protein_coding
ENSG00000269243.1	AC008894.2	chr19	16123661	16139892	-	antisense
ENSG00000196684.12	HSH2D	chr19	16134028	16158575	+	protein_coding
ENSG00000141977.9	CIB3	chr19	16161368	16173525	-	protein_coding
ENSG00000105058.11	FAM32A	chr19	16185380	16192046	+	protein_coding
ENSG00000267033.1	AC020911.1	chr19	16186276	16189458	-	antisense
ENSG00000275901.1	RF00017	chr19	16187313	16187566	+	misc_RNA
ENSG00000072958.8	AP1M1	chr19	16197578	16245907	+	protein_coding
ENSG00000267275.1	AC020911.2	chr19	16283359	16324514	-	antisense
ENSG00000127528.5	KLF2	chr19	16324817	16327874	+	protein_coding
ENSG00000277825.1	AC020917.3	chr19	16352462	16353182	-	lincRNA
ENSG00000127527.13	EPS15L1	chr19	16355239	16472085	-	protein_coding
ENSG00000280332.1	AC020917.4	chr19	16356329	16358327	-	TEC
ENSG00000240418.1	AC020917.1	chr19	16412684	16413576	+	processed_pseudogene
ENSG00000267703.1	AC020917.2	chr19	16440946	16443584	+	antisense
ENSG00000269058.5	CALR3	chr19	16479057	16496192	-	protein_coding
ENSG00000141979.4	AC008764.1	chr19	16479067	16628204	-	protein_coding
ENSG00000105072.8	C19orf44	chr19	16496311	16521352	+	protein_coding
ENSG00000085872.14	CHERP	chr19	16517889	16542530	-	protein_coding
ENSG00000240106.2	RN7SL146P	chr19	16539688	16539984	-	misc_RNA
ENSG00000269399.2	AC008764.6	chr19	16542746	16544814	+	lincRNA
ENSG00000127526.14	SLC35E1	chr19	16549831	16572382	-	protein_coding
ENSG00000268309.1	AC008764.3	chr19	16551773	16552328	+	antisense
ENSG00000269085.1	AC008764.5	chr19	16565551	16566330	+	antisense
ENSG00000279529.1	AC008764.8	chr19	16572624	16575340	+	antisense
ENSG00000105085.10	MED26	chr19	16574907	16629062	-	protein_coding
ENSG00000268790.5	AC008764.4	chr19	16577642	16660115	-	protein_coding
ENSG00000269578.1	AC008764.7	chr19	16586905	16587985	-	sense_intronic
ENSG00000279748.1	AC008764.9	chr19	16586905	16589409	+	TEC
ENSG00000279977.1	AC008764.10	chr19	16610374	16612203	-	TEC
ENSG00000268087.1	AC008764.2	chr19	16610411	16636531	+	lincRNA
ENSG00000269427.1	AC024075.3	chr19	16630743	16643942	+	antisense
ENSG00000214046.8	SMIM7	chr19	16630751	16660442	-	protein_coding
ENSG00000269044.2	AC024075.2	chr19	16633797	16635269	-	sense_intronic
ENSG00000267904.1	AC024075.1	chr19	16639967	16640668	-	sense_intronic
ENSG00000072954.6	TMEM38A	chr19	16661127	16690029	+	protein_coding
ENSG00000269419.1	AC008737.2	chr19	16712317	16712434	+	processed_pseudogene
ENSG00000188039.14	NWD1	chr19	16719976	16817963	+	protein_coding
ENSG00000269799.1	AC008737.3	chr19	16801426	16801714	+	sense_intronic
ENSG00000127511.9	SIN3B	chr19	16829400	16880353	+	protein_coding
ENSG00000268743.1	AC008737.1	chr19	16844025	16846473	+	sense_intronic
ENSG00000127533.3	F2RL3	chr19	16888860	16892606	+	protein_coding
ENSG00000160111.12	CPAMD8	chr19	16892947	17026815	-	protein_coding
ENSG00000264250.2	RN7SL835P	chr19	16907462	16907723	+	misc_RNA
ENSG00000263595.2	RN7SL823P	chr19	16910490	16910784	-	misc_RNA
ENSG00000268985.1	AC020908.2	chr19	17009189	17013460	+	antisense
ENSG00000131351.14	HAUS8	chr19	17049729	17075625	-	protein_coding
ENSG00000268289.1	AC020908.1	chr19	17051994	17055087	+	antisense
ENSG00000099331.13	MYO9B	chr19	17075781	17214537	+	protein_coding
ENSG00000269066.1	AC020908.3	chr19	17095418	17099307	-	antisense
ENSG00000268056.5	AC020913.1	chr19	17152588	17168051	-	antisense
ENSG00000269836.1	AC020913.3	chr19	17177511	17178476	-	antisense
ENSG00000269480.1	AC020913.2	chr19	17207138	17208010	-	antisense
ENSG00000053501.12	USE1	chr19	17215346	17219829	+	protein_coding
ENSG00000099330.8	OCEL1	chr19	17226204	17229219	+	protein_coding
ENSG00000160113.5	NR2F6	chr19	17231883	17245940	-	protein_coding
ENSG00000269095.1	AC010646.1	chr19	17235940	17255448	-	protein_coding
ENSG00000130307.11	USHBP1	chr19	17249176	17282786	-	protein_coding
ENSG00000105393.15	BABAM1	chr19	17267350	17281249	+	protein_coding
ENSG00000269307.1	AC010463.1	chr19	17267418	17282966	+	protein_coding
ENSG00000160117.14	ANKLE1	chr19	17281645	17287646	+	protein_coding
ENSG00000127220.5	ABHD8	chr19	17292131	17310236	-	protein_coding
ENSG00000130312.6	MRPL34	chr19	17292609	17306843	+	protein_coding
ENSG00000269815.1	AC010463.3	chr19	17296196	17296695	-	sense_intronic
ENSG00000130311.10	DDA1	chr19	17309518	17323301	+	protein_coding
ENSG00000074855.10	ANO8	chr19	17323223	17334829	-	protein_coding
ENSG00000130299.16	GTPBP3	chr19	17334920	17342735	+	protein_coding
ENSG00000130300.8	PLVAP	chr19	17351448	17377350	-	protein_coding
ENSG00000269350.1	AC010463.2	chr19	17360932	17362753	+	antisense
ENSG00000269720.2	CCDC194	chr19	17390509	17394158	-	protein_coding
ENSG00000130303.12	BST2	chr19	17402939	17405648	-	protein_coding
ENSG00000282851.2	BISPR	chr19	17405686	17419324	+	lincRNA
ENSG00000141971.12	MVB12A	chr19	17405722	17433724	+	protein_coding
ENSG00000269481.1	AC010319.4	chr19	17414257	17422324	-	antisense
ENSG00000254503.1	AC010319.1	chr19	17417031	17418288	-	processed_pseudogene
ENSG00000269053.1	AC010319.3	chr19	17419305	17419774	-	antisense
ENSG00000188051.6	TMEM221	chr19	17435509	17448567	-	protein_coding
ENSG00000269035.1	AC010319.2	chr19	17436611	17460804	-	protein_coding
ENSG00000269736.1	AC010319.5	chr19	17452211	17452969	-	lincRNA
ENSG00000171773.2	NXNL1	chr19	17455425	17460954	-	protein_coding
ENSG00000130304.16	SLC27A1	chr19	17468769	17506168	+	protein_coding
ENSG00000269439.5	AC010618.3	chr19	17488990	17511889	-	lincRNA
ENSG00000130313.6	PGLS	chr19	17511629	17521288	+	protein_coding
ENSG00000269161.1	AC010618.2	chr19	17518330	17520565	-	antisense
ENSG00000167483.17	FAM129C	chr19	17523301	17553839	+	protein_coding
ENSG00000130309.10	COLGALT1	chr19	17555594	17583162	+	protein_coding
ENSG00000243771.1	AC010618.1	chr19	17589595	17590071	-	processed_pseudogene
ENSG00000130477.15	UNC13A	chr19	17601328	17688365	-	protein_coding
ENSG00000269752.1	AC008761.2	chr19	17613722	17614430	+	antisense
ENSG00000279300.1	AC008761.3	chr19	17622447	17623338	+	TEC
ENSG00000130479.10	MAP1S	chr19	17719242	17734516	+	protein_coding
ENSG00000268112.1	AC008761.1	chr19	17727840	17734513	-	antisense
ENSG00000130475.14	FCHO1	chr19	17747718	17788568	+	protein_coding
ENSG00000179913.10	B3GNT3	chr19	17794828	17813082	+	protein_coding
ENSG00000248099.3	INSL3	chr19	17816512	17821574	-	protein_coding
ENSG00000105639.18	JAK3	chr19	17824780	17848071	-	protein_coding
ENSG00000105640.12	RPL18A	chr19	17859876	17864153	+	protein_coding
ENSG00000207166.1	SNORA68	chr19	17862588	17862720	+	snoRNA
ENSG00000279617.1	AC005796.1	chr19	17871273	17871705	-	TEC
ENSG00000105641.3	SLC5A5	chr19	17871973	17895174	+	protein_coding
ENSG00000007080.10	CCDC124	chr19	17933016	17943991	+	protein_coding
ENSG00000105642.15	KCNN1	chr19	17951293	18000080	+	protein_coding
ENSG00000252591.1	RNA5SP468	chr19	17972025	17972117	+	rRNA_pseudogene
ENSG00000105643.9	ARRDC2	chr19	18001132	18014102	+	protein_coding
ENSG00000279172.1	AC020904.3	chr19	18009440	18009881	-	TEC
ENSG00000273654.1	AC020904.2	chr19	18022403	18032099	+	transcribed_processed_pseudogene
ENSG00000268623.2	AC020904.1	chr19	18040355	18041083	+	processed_pseudogene
ENSG00000243455.3	RPS18P13	chr19	18048637	18049090	+	processed_pseudogene
ENSG00000096996.15	IL12RB1	chr19	18058995	18098944	-	protein_coding
ENSG00000099308.10	MAST3	chr19	18097793	18151692	+	protein_coding
ENSG00000269145.2	AC007192.2	chr19	18144522	18151691	-	antisense
ENSG00000105647.16	PIK3R2	chr19	18153118	18170540	+	protein_coding
ENSG00000268173.3	AC007192.1	chr19	18153158	18178117	+	protein_coding
ENSG00000216490.3	IFI30	chr19	18173162	18178117	+	protein_coding
ENSG00000254858.9	MPV17L2	chr19	18193182	18196948	+	protein_coding
ENSG00000105649.9	RAB3A	chr19	18196784	18204074	-	protein_coding
ENSG00000268650.3	AC005759.1	chr19	18204730	18220480	+	antisense
ENSG00000285188.1	AC008397.2	chr19	18207961	18255419	-	protein_coding
ENSG00000105650.22	PDE4C	chr19	18208652	18248200	-	protein_coding
ENSG00000284797.1	AC008397.1	chr19	18249950	18255419	-	protein_coding
ENSG00000130518.16	IQCN	chr19	18257097	18274509	-	protein_coding
ENSG00000130522.5	JUND	chr19	18279760	18281622	-	protein_coding
ENSG00000267959.3	MIR3188	chr19	18282077	18282161	+	miRNA
ENSG00000241464.3	RPL39P38	chr19	18285343	18285495	-	processed_pseudogene
ENSG00000130520.10	LSM4	chr19	18306230	18323274	-	protein_coding
ENSG00000239821.3	RN7SL513P	chr19	18333276	18333573	+	misc_RNA
ENSG00000130517.13	PGPEP1	chr19	18340587	18369950	+	protein_coding
ENSG00000130513.6	GDF15	chr19	18374731	18389176	+	protein_coding
ENSG00000264175.1	MIR3189	chr19	18386562	18386634	+	miRNA
ENSG00000175489.9	LRRC25	chr19	18391144	18397617	-	protein_coding
ENSG00000130511.15	SSBP4	chr19	18418864	18434562	+	protein_coding
ENSG00000105655.18	ISYNA1	chr19	18434388	18438301	-	protein_coding
ENSG00000268199.2	AC010335.1	chr19	18441419	18443597	+	antisense
ENSG00000105656.12	ELL	chr19	18442663	18522127	-	protein_coding
ENSG00000279262.1	AC010335.2	chr19	18448275	18448802	+	TEC
ENSG00000280121.1	AC010335.3	chr19	18448275	18448805	-	TEC
ENSG00000268938.2	AC005387.1	chr19	18531613	18532632	+	antisense
ENSG00000105701.15	FKBP8	chr19	18531751	18544077	-	protein_coding
ENSG00000269191.1	AC005387.2	chr19	18532908	18536188	+	antisense
ENSG00000105700.10	KXD1	chr19	18557762	18569387	+	protein_coding
ENSG00000268030.1	AC005253.1	chr19	18557775	18561560	-	antisense
ENSG00000268983.1	AC005253.2	chr19	18568506	18569375	-	antisense
ENSG00000221983.7	UBA52	chr19	18571730	18577550	+	protein_coding
ENSG00000006016.10	CRLF1	chr19	18572220	18607741	-	protein_coding
ENSG00000006015.17	REX1BD	chr19	18588685	18592336	+	protein_coding
ENSG00000105696.8	TMEM59L	chr19	18607430	18621039	+	protein_coding
ENSG00000263490.2	RN7SL155P	chr19	18631646	18631908	-	misc_RNA
ENSG00000167487.11	KLHL26	chr19	18636965	18671714	+	protein_coding
ENSG00000105662.15	CRTC1	chr19	18683677	18782333	+	protein_coding
ENSG00000105664.10	COMP	chr19	18782773	18791314	-	protein_coding
ENSG00000005007.12	UPF1	chr19	18831938	18868236	+	protein_coding
ENSG00000130283.8	GDF1	chr19	18868545	18896096	-	protein_coding
ENSG00000223802.7	CERS1	chr19	18868545	18896727	-	protein_coding
ENSG00000269694.1	AC005197.1	chr19	18881680	18883376	+	antisense
ENSG00000105669.13	COPE	chr19	18899514	18919397	-	protein_coding
ENSG00000268193.5	AC002985.1	chr19	18907013	18934397	-	protein_coding
ENSG00000105671.11	DDX49	chr19	18919675	18928633	+	protein_coding
ENSG00000051128.18	HOMER3	chr19	18929201	18941261	-	protein_coding
ENSG00000269019.1	HOMER3-AS1	chr19	18940322	18946831	+	antisense
ENSG00000241172.3	RN7SL70P	chr19	18957957	18958258	-	misc_RNA
ENSG00000064607.16	SUGP2	chr19	18990888	19034023	-	protein_coding
ENSG00000105676.13	ARMC6	chr19	19033575	19060311	+	protein_coding
ENSG00000181035.13	SLC25A42	chr19	19063999	19112888	+	protein_coding
ENSG00000064545.14	TMEM161A	chr19	19119169	19138513	-	protein_coding
ENSG00000064489.22	BORCS8-MEF2B	chr19	19145567	19192158	-	protein_coding
ENSG00000213999.15	MEF2B	chr19	19145568	19170289	-	protein_coding
ENSG00000254901.7	BORCS8	chr19	19176903	19192591	-	protein_coding
ENSG00000064490.13	RFXANK	chr19	19192229	19201869	+	protein_coding
ENSG00000184162.14	NR2C2AP	chr19	19201416	19203424	-	protein_coding
ENSG00000130287.13	NCAN	chr19	19211973	19252233	+	protein_coding
ENSG00000252973.1	RNU6-1028P	chr19	19232855	19232947	+	snRNA
ENSG00000267629.3	AC138430.1	chr19	19254748	19273369	-	processed_transcript
ENSG00000280282.1	AC138430.2	chr19	19255638	19256141	+	TEC
ENSG00000187664.8	HAPLN4	chr19	19255641	19262796	-	protein_coding
ENSG00000213996.12	TM6SF2	chr19	19264364	19273391	-	protein_coding
ENSG00000105705.15	SUGP1	chr19	19276018	19320844	-	protein_coding
ENSG00000129933.20	MAU2	chr19	19320681	19358755	+	protein_coding
ENSG00000167491.17	GATAD2A	chr19	19385826	19508931	+	protein_coding
ENSG00000267234.1	AC092067.1	chr19	19401979	19402603	-	antisense
ENSG00000207821.1	MIR640	chr19	19435063	19435158	+	miRNA
ENSG00000178093.13	TSSK6	chr19	19512418	19515685	-	protein_coding
ENSG00000186010.18	NDUFA13	chr19	19515736	19529054	+	protein_coding
ENSG00000258674.5	AC011448.1	chr19	19516227	19536076	+	protein_coding
ENSG00000250067.11	YJEFN3	chr19	19528861	19537581	+	protein_coding
ENSG00000160161.9	CILP2	chr19	19538248	19546659	+	protein_coding
ENSG00000105717.13	PBX4	chr19	19561707	19618916	-	protein_coding
ENSG00000267178.3	PHF5CP	chr19	19588091	19588415	-	processed_pseudogene
ENSG00000259242.2	AC002306.1	chr19	19606350	19608660	+	antisense
ENSG00000064547.13	LPAR2	chr19	19623668	19628930	-	protein_coding
ENSG00000089639.10	GMIP	chr19	19629476	19643667	-	protein_coding
ENSG00000105726.16	ATP13A1	chr19	19645198	19663693	-	protein_coding
ENSG00000181896.11	ZNF101	chr19	19668796	19683509	+	protein_coding
ENSG00000271283.1	AC011458.2	chr19	19699203	19699409	-	processed_pseudogene
ENSG00000270402.1	AC011458.1	chr19	19708965	19710465	+	processed_pseudogene
ENSG00000105708.8	ZNF14	chr19	19710471	19733097	-	protein_coding
ENSG00000275540.1	AC011477.7	chr19	19740884	19750127	+	unprocessed_pseudogene
ENSG00000271499.1	AC011477.6	chr19	19750618	19752544	+	processed_pseudogene
ENSG00000266904.5	LINC00663	chr19	19757366	19776423	-	lincRNA
ENSG00000267581.1	AC011477.4	chr19	19761038	19821716	-	lincRNA
ENSG00000267693.1	AC011477.5	chr19	19768731	19768989	+	processed_pseudogene
ENSG00000267419.2	AC011477.1	chr19	19776602	19836073	+	transcribed_unprocessed_pseudogene
ENSG00000081665.13	ZNF506	chr19	19785839	19821751	-	protein_coding
ENSG00000267481.1	AC011477.2	chr19	19788755	19790531	-	sense_intronic
ENSG00000270325.1	BNIP3P9	chr19	19856975	19857527	+	processed_pseudogene
ENSG00000256771.3	ZNF253	chr19	19865886	19894674	+	protein_coding
ENSG00000270270.1	BNIP3P10	chr19	19870723	19871299	-	processed_pseudogene
ENSG00000267565.1	AC011477.3	chr19	19892433	19895847	-	antisense
ENSG00000184635.15	ZNF93	chr19	19900913	19963464	+	protein_coding
ENSG00000273791.1	AC007204.1	chr19	19908268	19909146	-	unprocessed_pseudogene
ENSG00000274800.1	AC007204.2	chr19	19978190	19979610	-	unprocessed_pseudogene
ENSG00000197124.11	ZNF682	chr19	19997058	20039506	-	protein_coding
ENSG00000268070.1	AC006539.2	chr19	20033444	20034332	+	processed_pseudogene
ENSG00000274033.1	AC006539.3	chr19	20056466	20056594	-	unprocessed_pseudogene
ENSG00000269154.1	BNIP3P13	chr19	20062755	20063320	+	processed_pseudogene
ENSG00000213988.10	ZNF90	chr19	20077994	20127076	+	protein_coding
ENSG00000240673.1	AC006539.1	chr19	20079818	20080539	-	processed_pseudogene
ENSG00000274612.1	AC011447.5	chr19	20087013	20087576	-	processed_pseudogene
ENSG00000224864.4	AC011447.1	chr19	20125044	20125484	+	transcribed_processed_pseudogene
ENSG00000267383.6	AC011447.3	chr19	20125377	20321305	-	antisense
ENSG00000267220.1	AC011447.2	chr19	20131894	20151908	-	transcribed_unprocessed_pseudogene
ENSG00000270716.1	BNIP3P15	chr19	20136933	20137233	+	processed_pseudogene
ENSG00000256229.7	ZNF486	chr19	20167228	20200490	+	protein_coding
ENSG00000267641.1	BNIP3P16	chr19	20175013	20177063	-	processed_pseudogene
ENSG00000267771.1	AC011447.4	chr19	20206844	20206954	-	unprocessed_pseudogene
ENSG00000279039.1	AC011447.6	chr19	20207192	20209789	-	TEC
ENSG00000280079.1	AC011447.7	chr19	20220597	20222186	-	TEC
ENSG00000271524.1	BNIP3P17	chr19	20221869	20222463	+	processed_pseudogene
ENSG00000268620.1	AC078899.3	chr19	20249052	20250295	+	unprocessed_pseudogene
ENSG00000213985.4	AC078899.1	chr19	20257720	20259418	+	processed_pseudogene
ENSG00000269055.1	BNIP3P18	chr19	20267817	20268391	+	processed_pseudogene
ENSG00000269274.1	AC078899.4	chr19	20295089	20303794	+	unprocessed_pseudogene
ENSG00000271638.1	BNIP3P19	chr19	20323992	20324568	-	processed_pseudogene
ENSG00000276294.1	AC078899.5	chr19	20330121	20331517	+	unprocessed_pseudogene
ENSG00000231205.11	ZNF826P	chr19	20340269	20424969	-	transcribed_unprocessed_pseudogene
ENSG00000271704.1	BNIP3P20	chr19	20351502	20352079	+	processed_pseudogene
ENSG00000268461.2	AC078899.2	chr19	20389658	20390689	+	unprocessed_pseudogene
ENSG00000238517.1	MIR1270	chr19	20399272	20399354	-	miRNA
ENSG00000268174.1	BNIP3P22	chr19	20416514	20417069	+	processed_pseudogene
ENSG00000269043.1	AC008554.1	chr19	20432552	20528615	+	lincRNA
ENSG00000268335.1	BNIP3P23	chr19	20443215	20443725	-	processed_pseudogene
ENSG00000237440.8	ZNF737	chr19	20535825	20565809	-	protein_coding
ENSG00000269110.1	AC010636.2	chr19	20553792	20661583	-	lincRNA
ENSG00000268272.1	VN1R78P	chr19	20583084	20583647	-	unprocessed_pseudogene
ENSG00000268560.1	AC010636.1	chr19	20611559	20615389	+	lincRNA
ENSG00000188171.15	ZNF626	chr19	20620061	20661596	-	protein_coding
ENSG00000280171.1	AC010329.5	chr19	20674923	20696533	+	unprocessed_pseudogene
ENSG00000269779.1	AC010329.2	chr19	20691336	20697615	+	unprocessed_pseudogene
ENSG00000268416.1	AC010329.1	chr19	20746923	20755250	-	lincRNA
ENSG00000269885.1	VN1R79P	chr19	20758440	20758952	+	unprocessed_pseudogene
ENSG00000160229.11	ZNF66	chr19	20776304	20807322	+	protein_coding
ENSG00000269040.1	BNIP3P24	chr19	20784596	20785152	-	processed_pseudogene
ENSG00000269373.1	AC008739.2	chr19	20838515	20847417	-	unprocessed_pseudogene
ENSG00000105750.14	ZNF85	chr19	20923222	20950697	+	protein_coding
ENSG00000279404.1	AC008739.5	chr19	20926777	20928714	-	TEC
ENSG00000269012.2	KRT18P40	chr19	20961057	20965140	+	unprocessed_pseudogene
ENSG00000268326.1	AC008739.1	chr19	20972262	20983210	+	lincRNA
ENSG00000118620.12	ZNF430	chr19	21020620	21060050	+	protein_coding
ENSG00000271598.1	AC008739.3	chr19	21025915	21026041	-	processed_pseudogene
ENSG00000268598.1	VN1R80P	chr19	21063924	21064261	+	unprocessed_pseudogene
ENSG00000160352.15	ZNF714	chr19	21082159	21125270	+	protein_coding
ENSG00000201035.1	RNA5SP469	chr19	21113128	21113236	-	rRNA_pseudogene
ENSG00000268357.1	VN1R81P	chr19	21123817	21124188	+	unprocessed_pseudogene
ENSG00000196705.8	ZNF431	chr19	21142024	21196053	+	protein_coding
ENSG00000240522.1	RPL7AP10	chr19	21149648	21150438	-	processed_pseudogene
ENSG00000268995.1	VN1R82P	chr19	21188598	21188953	+	unprocessed_pseudogene
ENSG00000268892.1	AC010620.1	chr19	21221645	21222746	-	unprocessed_pseudogene
ENSG00000269839.1	AC010620.2	chr19	21225098	21245241	-	unprocessed_pseudogene
ENSG00000242291.1	RPL36AP51	chr19	21233335	21233652	+	processed_pseudogene
ENSG00000268747.1	AC022432.1	chr19	21276023	21276332	-	processed_pseudogene
ENSG00000268521.1	VN1R83P	chr19	21289554	21289998	-	unprocessed_pseudogene
ENSG00000182141.10	ZNF708	chr19	21291160	21329425	-	protein_coding
ENSG00000268322.1	BNIP3P25	chr19	21318161	21318719	+	processed_pseudogene
ENSG00000172687.13	ZNF738	chr19	21358930	21379302	+	protein_coding
ENSG00000268731.1	AC010615.3	chr19	21381220	21381921	-	processed_pseudogene
ENSG00000213976.4	AC010615.1	chr19	21382865	21387177	+	unprocessed_pseudogene
ENSG00000196268.11	ZNF493	chr19	21397119	21427573	+	protein_coding
ENSG00000269237.1	AC010615.4	chr19	21405159	21491266	+	protein_coding
